Dog;Sex;Breed;Age(m);subgroup;subgroup_described;demonstrator;targett.;touchscr.;eyetrack;Sniff_LID_binary;Sniff_DOT_binary;Sniff_lid_dot_binary;dot_blue;dot_yellow;lid(L-to-R);lid(R-to-L);Right_order_dots;copying_fidelity;at_least_1dot;2dots(incorrectly);opening_lid_however;1dot+lid;1dot+lid_corr;2dots+lid;2dots+lid_corr;proxi_lid_BIN;sniff_and_proxi_lid;sniff_and_proxi_lid_AND_opening_lid;just_sniff_AND_opening_the_lid;proxi_dots_BIN;sniff_and_proxi_dots;sniff_proxi_dots_AND_touch;touching_dots;fidelity_IRRELEVANT;fidelity_RELEVANT;
Jessy;1;labrador;139;2;irr;owner;1;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;2;1;3;0;
Joschi2;2;jack_russel;75;2;irr;owner;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;1;2;
Lenny;2;border_collie;105;2;irr;owner;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;2;2;
Letti;1;elo;53;2;irr;owner;1;0;0;0;1;0;1;1;0;0;0;2;1;1;0;0;0;0;0;1;0;0;0;1;1;2;2;4;1;
Nemo1;2;short_haired_collie;35;2;irr;owner;0;0;0;0;1;0;1;1;0;0;0;2;1;1;0;0;0;0;0;1;0;0;0;1;1;2;2;4;1;
Poppy1;1;collie;16;2;irr;owner;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;1;1;3;0;
Schoko2;1;viszla;90;2;irr;owner;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Senna;1;german_shepherd;46;2;irr;owner;0;0;0;1;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;1;1;1;1;1;1;2;1;3;2;
Sepp;2;beagle;65;2;irr;owner;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;
Sola;1;mix;37;2;irr;owner;0;0;0;1;1;1;0;1;0;0;0;1;1;0;0;0;0;0;0;1;1;1;1;1;1;2;1;3;2;
Tara2;1;australian_shepherd;34;2;irr;owner;1;0;0;1;1;1;1;1;0;0;1;3;1;0;0;0;0;0;0;1;1;1;1;1;1;2;2;5;2;
Xandro;2;border_collie;55;2;irr;owner;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;
Aiko2;2;australian_shepherd;74;3;irr+rel;owner;1;0;0;1;1;1;1;1;0;0;0;2;1;1;0;0;0;0;0;1;1;1;1;1;1;2;2;4;2;
Apryl;1;border_collie;103;3;irr+rel;owner;1;1;1;1;1;1;1;1;0;1;1;3;1;0;1;1;1;1;1;1;1;2;2;1;1;2;2;5;4;
Ascan;2;eurasien;14;3;irr+rel;owner;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;2;
Cameron;2;border_collie;61;3;irr+rel;owner;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;
Cliff;2;border_collie;40;3;irr+rel;owner;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;2;0;
